,Date, Open, High, Low, Close,Date_PE,PE_CAPE,TR CAPE,Yield
3390,07/17/07,1549.37,1555.22,1547.91,1549.37,2007.07,27.41,29.52,1.29%
3391,07/16/07,1549.52,1555.9,1546.69,1549.52,2007.07,27.41,29.52,1.29%
3392,07/13/07,1552.5,1555.1,1544.85,1552.5,2007.07,27.41,29.52,1.29%
3393,07/12/07,1547.7,1547.91,1518.74,1547.7,2007.07,27.41,29.52,1.29%
3394,07/11/07,1518.76,1519.27,1506.64,1518.76,2007.07,27.41,29.52,1.29%
3395,07/10/07,1510.12,1531.85,1510.06,1510.12,2007.07,27.41,29.52,1.29%
3396,07/09/07,1531.85,1534.21,1527.53,1531.85,2007.07,27.41,29.52,1.29%
3397,07/06/07,1530.44,1532.4,1520.47,1530.44,2007.07,27.41,29.52,1.29%
3398,07/05/07,1525.4,1526.57,1517.72,1525.4,2007.07,27.41,29.52,1.29%
3399,07/03/07,1524.87,1526.01,1519.12,1524.87,2007.07,27.41,29.52,1.29%
3400,07/02/07,1519.43,1519.45,1504.66,1519.43,2007.07,27.41,29.52,1.29%
3401,06/29/07,1503.35,1517.53,1493.61,1503.35,2007.06,27.42,29.53,1.20%
3402,06/28/07,1505.71,1514.84,1503.41,1505.71,2007.06,27.42,29.53,1.20%
3403,06/27/07,1506.34,1506.8,1484.18,1506.34,2007.06,27.42,29.53,1.20%
3404,06/26/07,1492.89,1506.12,1490.54,1492.89,2007.06,27.42,29.53,1.20%
3405,06/25/07,1497.74,1514.29,1492.68,1497.74,2007.06,27.42,29.53,1.20%
3406,06/22/07,1502.56,1522.19,1500.74,1502.56,2007.06,27.42,29.53,1.20%
3407,06/21/07,1522.19,1522.9,1504.75,1522.19,2007.06,27.42,29.53,1.20%
3408,06/20/07,1512.84,1537.8,1512.36,1512.84,2007.06,27.42,29.53,1.20%
3409,06/19/07,1533.7,1535.85,1525.67,1533.7,2007.06,27.42,29.53,1.20%
3410,06/18/07,1531.05,1535.44,1529.31,1531.05,2007.06,27.42,29.53,1.20%
3411,06/15/07,1532.91,1538.71,1522.97,1532.91,2007.06,27.42,29.53,1.20%
3412,06/14/07,1522.97,1526.45,1515.58,1522.97,2007.06,27.42,29.53,1.20%
3413,06/13/07,1515.67,1515.7,1492.65,1515.67,2007.06,27.42,29.53,1.20%
3414,06/12/07,1493.0,1511.33,1492.97,1493.0,2007.06,27.42,29.53,1.20%
3415,06/11/07,1509.12,1515.53,1503.35,1509.12,2007.06,27.42,29.53,1.20%
3416,06/08/07,1507.67,1507.76,1487.41,1507.67,2007.06,27.42,29.53,1.20%
3417,06/07/07,1490.72,1517.36,1490.37,1490.72,2007.06,27.42,29.53,1.20%
3418,06/06/07,1517.38,1530.57,1514.13,1517.38,2007.06,27.42,29.53,1.20%
3419,06/05/07,1530.95,1539.12,1525.62,1530.95,2007.06,27.42,29.53,1.20%
3420,06/04/07,1539.18,1540.53,1532.31,1539.18,2007.06,27.42,29.53,1.20%
3421,06/01/07,1536.34,1540.56,1530.62,1536.34,2007.06,27.42,29.53,1.20%
3422,05/31/07,1530.62,1535.56,1528.26,1530.62,2007.05,27.55,29.68,1.53%
3423,05/30/07,1530.23,1530.23,1510.06,1530.23,2007.05,27.55,29.68,1.53%
3424,05/29/07,1518.11,1521.8,1512.02,1518.11,2007.05,27.55,29.68,1.53%
3425,05/25/07,1515.73,1517.41,1507.5,1515.73,2007.05,27.55,29.68,1.53%
3426,05/24/07,1507.51,1529.31,1505.18,1507.51,2007.05,27.55,29.68,1.53%
3427,05/23/07,1522.28,1532.43,1521.9,1522.28,2007.05,27.55,29.68,1.53%
3428,05/22/07,1524.12,1529.24,1522.05,1524.12,2007.05,27.55,29.68,1.53%
3429,05/21/07,1525.1,1529.87,1522.71,1525.1,2007.05,27.55,29.68,1.53%
3430,05/18/07,1522.75,1522.75,1512.74,1522.75,2007.05,27.55,29.68,1.53%
3431,05/17/07,1512.75,1517.14,1509.29,1512.75,2007.05,27.55,29.68,1.53%
3432,05/16/07,1514.14,1514.15,1500.75,1514.14,2007.05,27.55,29.68,1.53%
3433,05/15/07,1501.19,1514.83,1500.43,1501.19,2007.05,27.55,29.68,1.53%
3434,05/14/07,1503.15,1510.9,1498.34,1503.15,2007.05,27.55,29.68,1.53%
3435,05/11/07,1505.85,1506.24,1491.47,1505.85,2007.05,27.55,29.68,1.53%
3436,05/10/07,1491.47,1512.33,1491.42,1491.47,2007.05,27.55,29.68,1.53%
3437,05/09/07,1512.58,1513.8,1503.77,1512.58,2007.05,27.55,29.68,1.53%
3438,05/08/07,1507.72,1509.36,1500.66,1507.72,2007.05,27.55,29.68,1.53%
3439,05/07/07,1509.48,1511.0,1505.54,1509.48,2007.05,27.55,29.68,1.53%
3440,05/04/07,1505.62,1510.34,1501.8,1505.62,2007.05,27.55,29.68,1.53%
3441,05/03/07,1502.39,1503.34,1495.56,1502.39,2007.05,27.55,29.68,1.53%
3442,05/02/07,1495.92,1499.1,1486.13,1495.92,2007.05,27.55,29.68,1.53%
3443,05/01/07,1486.3,1487.27,1476.7,1486.3,2007.05,27.55,29.68,1.53%
3444,04/30/07,1482.37,1497.16,1482.29,1482.37,2007.04,26.98,29.07,1.60%
3445,04/27/07,1494.07,1497.32,1488.67,1494.07,2007.04,26.98,29.07,1.60%
3446,04/26/07,1494.25,1498.02,1491.17,1494.25,2007.04,26.98,29.07,1.60%
3447,04/25/07,1495.42,1496.59,1480.28,1495.42,2007.04,26.98,29.07,1.60%
3448,04/24/07,1480.41,1483.82,1473.74,1480.41,2007.04,26.98,29.07,1.60%
3449,04/23/07,1480.93,1487.32,1480.19,1480.93,2007.04,26.98,29.07,1.60%
3450,04/20/07,1484.35,1484.74,1470.69,1484.35,2007.04,26.98,29.07,1.60%
3451,04/19/07,1470.73,1474.23,1464.47,1470.73,2007.04,26.98,29.07,1.60%
3452,04/18/07,1472.5,1476.57,1466.41,1472.5,2007.04,26.98,29.07,1.60%
3453,04/17/07,1471.48,1474.35,1467.15,1471.48,2007.04,26.98,29.07,1.60%
3454,04/16/07,1468.47,1468.62,1452.84,1468.47,2007.04,26.98,29.07,1.60%
3455,04/13/07,1452.85,1453.11,1444.15,1452.85,2007.04,26.98,29.07,1.60%
3456,04/12/07,1447.8,1448.02,1433.91,1447.8,2007.04,26.98,29.07,1.60%
3457,04/11/07,1438.87,1448.39,1436.15,1438.87,2007.04,26.98,29.07,1.60%
3458,04/10/07,1448.39,1448.73,1443.99,1448.39,2007.04,26.98,29.07,1.60%
3459,04/09/07,1444.61,1448.1,1443.28,1444.61,2007.04,26.98,29.07,1.60%
3460,04/05/07,1443.76,1444.88,1436.67,1443.76,2007.04,26.98,29.07,1.60%
3461,04/04/07,1439.37,1440.16,1435.08,1439.37,2007.04,26.98,29.07,1.60%
3462,04/03/07,1437.77,1440.57,1424.27,1437.77,2007.04,26.98,29.07,1.60%
3463,04/02/07,1424.55,1425.49,1416.37,1424.55,2007.04,26.98,29.07,1.60%
3464,03/30/07,1420.86,1429.22,1408.9,1420.86,2007.03,26.23,28.26,1.78%
3465,03/29/07,1422.53,1426.24,1413.27,1422.53,2007.03,26.23,28.26,1.78%
3466,03/28/07,1417.23,1428.35,1414.07,1417.23,2007.03,26.23,28.26,1.78%
3467,03/27/07,1428.61,1437.49,1425.54,1428.61,2007.03,26.23,28.26,1.78%
3468,03/26/07,1437.5,1437.65,1423.28,1437.5,2007.03,26.23,28.26,1.78%
3469,03/23/07,1436.11,1438.89,1433.21,1436.11,2007.03,26.23,28.26,1.78%
3470,03/22/07,1434.54,1437.66,1429.88,1434.54,2007.03,26.23,28.26,1.78%
3471,03/21/07,1435.04,1437.77,1409.75,1435.04,2007.03,26.23,28.26,1.78%
3472,03/20/07,1410.94,1411.53,1400.7,1410.94,2007.03,26.23,28.26,1.78%
3473,03/19/07,1402.06,1403.2,1386.95,1402.06,2007.03,26.23,28.26,1.78%
3474,03/16/07,1386.95,1397.51,1383.63,1386.95,2007.03,26.23,28.26,1.78%
3475,03/15/07,1392.28,1395.73,1385.16,1392.28,2007.03,26.23,28.26,1.78%
3476,03/14/07,1387.17,1388.09,1363.98,1387.17,2007.03,26.23,28.26,1.78%
3477,03/13/07,1377.95,1406.23,1377.71,1377.95,2007.03,26.23,28.26,1.78%
3478,03/12/07,1406.6,1409.34,1398.4,1406.6,2007.03,26.23,28.26,1.78%
3479,03/09/07,1402.85,1410.15,1397.3,1402.85,2007.03,26.23,28.26,1.78%
3480,03/08/07,1401.89,1407.93,1391.88,1401.89,2007.03,26.23,28.26,1.78%
3481,03/07/07,1391.97,1401.16,1390.64,1391.97,2007.03,26.23,28.26,1.78%
3482,03/06/07,1395.41,1397.9,1374.06,1395.41,2007.03,26.23,28.26,1.78%
3483,03/05/07,1374.12,1391.86,1373.97,1374.12,2007.03,26.23,28.26,1.78%
3484,03/02/07,1387.17,1403.4,1386.87,1387.17,2007.03,26.23,28.26,1.78%
3485,03/01/07,1403.17,1409.46,1380.87,1403.17,2007.03,26.23,28.26,1.78%
3486,02/28/07,1406.82,1415.89,1396.65,1406.82,2007.02,27.32,29.44,1.40%
3487,02/27/07,1399.04,1449.25,1389.42,1399.04,2007.02,27.32,29.44,1.40%
3488,02/26/07,1449.37,1456.95,1445.48,1449.37,2007.02,27.32,29.44,1.40%
3489,02/23/07,1451.19,1456.22,1448.36,1451.19,2007.02,27.32,29.44,1.40%
3490,02/22/07,1456.38,1461.57,1450.51,1456.38,2007.02,27.32,29.44,1.40%
3491,02/21/07,1457.63,1459.6,1452.02,1457.63,2007.02,27.32,29.44,1.40%
3492,02/20/07,1459.68,1460.53,1449.2,1459.68,2007.02,27.32,29.44,1.40%
3493,02/16/07,1455.54,1456.77,1451.57,1455.54,2007.02,27.32,29.44,1.40%
3494,02/15/07,1456.81,1457.97,1453.19,1456.81,2007.02,27.32,29.44,1.40%
3495,02/14/07,1455.3,1457.65,1443.91,1455.3,2007.02,27.32,29.44,1.40%
3496,02/13/07,1444.26,1444.41,1433.22,1444.26,2007.02,27.32,29.44,1.40%
3497,02/12/07,1433.37,1439.11,1431.44,1433.37,2007.02,27.32,29.44,1.40%
3498,02/09/07,1438.06,1452.45,1433.44,1438.06,2007.02,27.32,29.44,1.40%
3499,02/08/07,1448.31,1450.45,1442.81,1448.31,2007.02,27.32,29.44,1.40%
3500,02/07/07,1450.02,1452.99,1446.44,1450.02,2007.02,27.32,29.44,1.40%
3501,02/06/07,1448.0,1450.19,1443.4,1448.0,2007.02,27.32,29.44,1.40%
3502,02/05/07,1446.99,1449.38,1443.85,1446.99,2007.02,27.32,29.44,1.40%
